varech	wawèt
frontière	lalinman
fruit-à-pain	fouyapen,friyapen
fusil	fizi
fusiller	fisillergai	djé
gaieté	djété
gallodrome	pit
galoper	galoper
galopin	mamoukatji
gamelle	ganmèl
garçon	gason
garde	gad
garnir	garni
gâteau	gato
georges	jôj
geste	jès
gifle	kalôt
giflesurlesdeuxjoues	palaviré
giron	madafa
goût	gou
goûter	gouté
goûter(un)	katrè
grec	grèk
grèce	lagrès,grès
graisse	lagrès,grès
gratter	graté
grève	lagrèv,grèv
gréviste	grévis
grossier	gwosomodohameçon	zen
hardi	hadi,radi
haut	wo
hauteur	wotè
hindouisme	bondyé-kouli,mayémenn
hisser	palantjé
hiver	livèincube	dôwlis
infirme	enpyôk,enfim
innocent	inosan
instituteur	enstititè
inutile	initil
inventaire 	lenvantèjaloux	jalou
jalousie	jalouzi
jambon	janbon
jardin	jaden
jare	ja
jaune	jôn
jeu	jé
jeudi	jédi
jeune	jenn
jeunesse	jénès
Jésus-christ	Jézikri
jour	jou
journée	lajounen,jounen
judo	jido
judoka	jidoka
jujube	jijib
juge	jij
juger	jijé
juridiction	jiridiksyon
juridique	jiridique
juriste	jiriskaki	kaki
kilo	tjilo
kilomètre	tjilomètlâche	kapon,lach
laid	lèd
laideur	lédè
laideron	tètzoto
lapin	lapen
large	laj
largeur	lajè
lecteur	lèktè
lèsbienne	zanmiyèz
lettre	lèt
libellule	marisosé,dimwazèl
limon	lali
lire	li
lit	kabann
litàcolonnes	zizimtolé
locataire	lokatè
louche(œil) 	loli,zyé-loli
louer	lwé
loup	lou
lourd	lou
lymphatique	môlpi

maigre	mèg
maire	mè;li-mè
maître	mèt
maîtresse	métrès
maîtresse-femme	malfanm
marchande	machann
marchander	marchandé
marché	maché,mawché
marcher	maché
machine	machin
machoire	machwè
malad	malad
maladie	maladi
malfaiteur	malfétè
malheur	malè
malheureux	maléré
malin	malen
maman	manman
manger	manjé
mangeur	manjè
mangouste 	mangous,manglous
marbre	mab
mare	ma
marque	mak
massacre	masak,dépotjilaj,dérayaj
massacrer	masakré,dépotjolé,dérayé
maudire	modi
maudit	modi
mauvais	mové
mendiant	mandyannè
mendier	mandyanné
mensonge	mansonj,mantri,mantézon
menteur	mantè
mentir	manti
mesure	mizi
mesurer	miziré
miette	chiktay
militaire	militè
misérable	mirézab
misérabiliste	misérabilis
misère	lanmizè,misère
moeurs	mès
moiré	sousoun-klérant,sousoun-kléré
moquer	motjé
moqueur	motjè
monter	monté
morceau	môsô
mort	mounmô;mô
morue	lanmori
moteur	motè
mouchoir	mouchwè
mouchoirdetête	mouchwè-tèt,madras
moulin	moulen
mourir	mô
mouton	mouton
muscle	miks
musclé	misklé
myope 	koki,zyé-koki
mystère	mistènain	mamoukatji
naître	né,nèt
narine	zel-nen
nécessaire	nésésè
nécessité	nésésité
nègre	nèg,nèg-nwè
nénuphar	chapo-dlo
neveu	nivé
nez	nen
nièce	nyès,niyès
noce	nôs
noceur	banbochè,kranè,féta
noir	nwè
noirceur	nwèsè
nouveau	nouvo
noyer(se)	néyé
nuage	niyajobéïr	obéyi
occupation	otjipasyon
occuper(s')	otjipé
offrande	ofwann
offrir	ofè
ongle	zong
orange	zoranj,zowanj
ordure	zòdi
oreiller	zowyé
orteil	zotèy
ortolan	zòtolan
os	zo
ossature	zobray
ours	louspalmiste	palmis
panier	panyen,pannyé
panser	pansé
pantin	bélévan,bwabwa
pantouf	pantoufle
parapluie	parapli
pardon	padon
pardonner	padonnen
parent	paran
parler	palé
pasteur	pastè
patience	pasyans
patrimoine	matjoukann
pauvre	pôv
payer	péyé
payeur	péyè
peau	lapo
peindre	penn;pentiré
peigne	peny,penn
peigner	penyen
peintre	pent
peinture(bâtiment)	lapenti
peinture(art)	penti
pendant	pannan,pandan
penser	pansé
père	papa;pè
père(religieux)	pè,monpè
peser	pézé
pet	pété
pétarader	pétayé
péter	pété
peut-être	nè,mèyè,pétèt,pitèt
piège	zatrap
piéger	pwanadananzatrap
pilule	pilil
pinceau	penso
pincement	pichon
pincer	pichonnen
pipe(àtabac)	pipe
pipe(fellation)	sous
pisse-au-lit	pisannit
pisser	pisé
pleutre	kôkôdô
pleurésie	pirézi
poids	pwa
pois	pwa
porte	lapôt
poste	pôs;lapôs
pot	pôt
